Ontology1,Ontology2,Entity1,Entity2,Parent1,Parent2,Path1,Path2,Match,Type
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Inbook,Reference,Entry,Thing/Reference/Misc,Thing/Entry/Inbook,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Book,Reference,Entry,Thing/Reference/Misc,Thing/Entry/Book,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Incollection,Reference,Entry,Thing/Reference/Misc,Thing/Entry/Incollection,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Manual,Reference,Entry,Thing/Reference/Misc,Thing/Entry/Manual,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Booklet,Reference,Entry,Thing/Reference/Misc,Thing/Entry/Booklet,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Proceedings,Reference,Entry,Thing/Reference/Misc,Thing/Entry/Proceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Unpublished,Reference,Entry,Thing/Reference/Misc,Thing/Entry/Unpublished,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,TechReport,Reference,Entry,Thing/Reference/Misc,Thing/Entry/TechReport,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Inproceedings,Reference,Entry,Thing/Reference/Misc,Thing/Entry/Inproceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Article,Reference,Entry,Thing/Reference/Misc,Thing/Entry/Article,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MastersThesis,Phdthesis,Academic,Entry,Thing/Reference/Academic/MastersThesis,Thing/Entry/Phdthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MastersThesis,Entry,Academic,Thing,Thing/Reference/Academic/MastersThesis,Thing/Entry,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MastersThesis,Mastersthesis,Academic,Entry,Thing/Reference/Academic/MastersThesis,Thing/Entry/Mastersthesis,1,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MastersThesis,Misc,Academic,Entry,Thing/Reference/Academic/MastersThesis,Thing/Entry/Misc,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MastersThesis,Conference,Academic,Entry,Thing/Reference/Academic/MastersThesis,Thing/Entry/Conference,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MastersThesis,Inbook,Academic,Entry,Thing/Reference/Academic/MastersThesis,Thing/Entry/Inbook,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MastersThesis,Book,Academic,Entry,Thing/Reference/Academic/MastersThesis,Thing/Entry/Book,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MastersThesis,Incollection,Academic,Entry,Thing/Reference/Academic/MastersThesis,Thing/Entry/Incollection,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MastersThesis,Manual,Academic,Entry,Thing/Reference/Academic/MastersThesis,Thing/Entry/Manual,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MastersThesis,Booklet,Academic,Entry,Thing/Reference/Academic/MastersThesis,Thing/Entry/Booklet,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MastersThesis,Proceedings,Academic,Entry,Thing/Reference/Academic/MastersThesis,Thing/Entry/Proceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MastersThesis,Unpublished,Academic,Entry,Thing/Reference/Academic/MastersThesis,Thing/Entry/Unpublished,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MastersThesis,TechReport,Academic,Entry,Thing/Reference/Academic/MastersThesis,Thing/Entry/TechReport,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MastersThesis,Inproceedings,Academic,Entry,Thing/Reference/Academic/MastersThesis,Thing/Entry/Inproceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MastersThesis,Article,Academic,Entry,Thing/Reference/Academic/MastersThesis,Thing/Entry/Article,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Manual,Phdthesis,Informal,Entry,Thing/Reference/Informal/Manual,Thing/Entry/Phdthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Manual,Entry,Informal,Thing,Thing/Reference/Informal/Manual,Thing/Entry,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Manual,Mastersthesis,Informal,Entry,Thing/Reference/Informal/Manual,Thing/Entry/Mastersthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Manual,Misc,Informal,Entry,Thing/Reference/Informal/Manual,Thing/Entry/Misc,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Manual,Conference,Informal,Entry,Thing/Reference/Informal/Manual,Thing/Entry/Conference,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Manual,Inbook,Informal,Entry,Thing/Reference/Informal/Manual,Thing/Entry/Inbook,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Manual,Book,Informal,Entry,Thing/Reference/Informal/Manual,Thing/Entry/Book,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Manual,Incollection,Informal,Entry,Thing/Reference/Informal/Manual,Thing/Entry/Incollection,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Manual,Manual,Informal,Entry,Thing/Reference/Informal/Manual,Thing/Entry/Manual,1,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Manual,Booklet,Informal,Entry,Thing/Reference/Informal/Manual,Thing/Entry/Booklet,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Manual,Proceedings,Informal,Entry,Thing/Reference/Informal/Manual,Thing/Entry/Proceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Manual,Unpublished,Informal,Entry,Thing/Reference/Informal/Manual,Thing/Entry/Unpublished,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Manual,TechReport,Informal,Entry,Thing/Reference/Informal/Manual,Thing/Entry/TechReport,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Manual,Inproceedings,Informal,Entry,Thing/Reference/Informal/Manual,Thing/Entry/Inproceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Manual,Article,Informal,Entry,Thing/Reference/Informal/Manual,Thing/Entry/Article,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Booklet,Phdthesis,Informal,Entry,Thing/Reference/Informal/Booklet,Thing/Entry/Phdthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Booklet,Entry,Informal,Thing,Thing/Reference/Informal/Booklet,Thing/Entry,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Booklet,Mastersthesis,Informal,Entry,Thing/Reference/Informal/Booklet,Thing/Entry/Mastersthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Booklet,Misc,Informal,Entry,Thing/Reference/Informal/Booklet,Thing/Entry/Misc,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Booklet,Conference,Informal,Entry,Thing/Reference/Informal/Booklet,Thing/Entry/Conference,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Booklet,Inbook,Informal,Entry,Thing/Reference/Informal/Booklet,Thing/Entry/Inbook,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Booklet,Book,Informal,Entry,Thing/Reference/Informal/Booklet,Thing/Entry/Book,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Booklet,Incollection,Informal,Entry,Thing/Reference/Informal/Booklet,Thing/Entry/Incollection,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Booklet,Manual,Informal,Entry,Thing/Reference/Informal/Booklet,Thing/Entry/Manual,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Booklet,Booklet,Informal,Entry,Thing/Reference/Informal/Booklet,Thing/Entry/Booklet,1,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Booklet,Proceedings,Informal,Entry,Thing/Reference/Informal/Booklet,Thing/Entry/Proceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Booklet,Unpublished,Informal,Entry,Thing/Reference/Informal/Booklet,Thing/Entry/Unpublished,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Booklet,TechReport,Informal,Entry,Thing/Reference/Informal/Booklet,Thing/Entry/TechReport,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Booklet,Inproceedings,Informal,Entry,Thing/Reference/Informal/Booklet,Thing/Entry/Inproceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Booklet,Article,Informal,Entry,Thing/Reference/Informal/Booklet,Thing/Entry/Article,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,InCollection,Phdthesis,Part,Entry,Thing/Reference/Part/InCollection,Thing/Entry/Phdthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,InCollection,Entry,Part,Thing,Thing/Reference/Part/InCollection,Thing/Entry,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,InCollection,Mastersthesis,Part,Entry,Thing/Reference/Part/InCollection,Thing/Entry/Mastersthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,InCollection,Misc,Part,Entry,Thing/Reference/Part/InCollection,Thing/Entry/Misc,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,InCollection,Conference,Part,Entry,Thing/Reference/Part/InCollection,Thing/Entry/Conference,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,InCollection,Inbook,Part,Entry,Thing/Reference/Part/InCollection,Thing/Entry/Inbook,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,InCollection,Book,Part,Entry,Thing/Reference/Part/InCollection,Thing/Entry/Book,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,InCollection,Incollection,Part,Entry,Thing/Reference/Part/InCollection,Thing/Entry/Incollection,1,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,InCollection,Manual,Part,Entry,Thing/Reference/Part/InCollection,Thing/Entry/Manual,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,InCollection,Booklet,Part,Entry,Thing/Reference/Part/InCollection,Thing/Entry/Booklet,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,InCollection,Proceedings,Part,Entry,Thing/Reference/Part/InCollection,Thing/Entry/Proceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,InCollection,Unpublished,Part,Entry,Thing/Reference/Part/InCollection,Thing/Entry/Unpublished,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,InCollection,TechReport,Part,Entry,Thing/Reference/Part/InCollection,Thing/Entry/TechReport,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,InCollection,Inproceedings,Part,Entry,Thing/Reference/Part/InCollection,Thing/Entry/Inproceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,InCollection,Article,Part,Entry,Thing/Reference/Part/InCollection,Thing/Entry/Article,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Chapter,Phdthesis,Part,Entry,Thing/Reference/Part/Chapter,Thing/Entry/Phdthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Chapter,Entry,Part,Thing,Thing/Reference/Part/Chapter,Thing/Entry,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Chapter,Mastersthesis,Part,Entry,Thing/Reference/Part/Chapter,Thing/Entry/Mastersthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Chapter,Misc,Part,Entry,Thing/Reference/Part/Chapter,Thing/Entry/Misc,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Chapter,Conference,Part,Entry,Thing/Reference/Part/Chapter,Thing/Entry/Conference,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Chapter,Inbook,Part,Entry,Thing/Reference/Part/Chapter,Thing/Entry/Inbook,1,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Chapter,Book,Part,Entry,Thing/Reference/Part/Chapter,Thing/Entry/Book,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Chapter,Incollection,Part,Entry,Thing/Reference/Part/Chapter,Thing/Entry/Incollection,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Chapter,Manual,Part,Entry,Thing/Reference/Part/Chapter,Thing/Entry/Manual,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Chapter,Booklet,Part,Entry,Thing/Reference/Part/Chapter,Thing/Entry/Booklet,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Chapter,Proceedings,Part,Entry,Thing/Reference/Part/Chapter,Thing/Entry/Proceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Chapter,Unpublished,Part,Entry,Thing/Reference/Part/Chapter,Thing/Entry/Unpublished,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Chapter,TechReport,Part,Entry,Thing/Reference/Part/Chapter,Thing/Entry/TechReport,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Chapter,Inproceedings,Part,Entry,Thing/Reference/Part/Chapter,Thing/Entry/Inproceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Chapter,Article,Part,Entry,Thing/Reference/Part/Chapter,Thing/Entry/Article,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Book,Phdthesis,Reference,Entry,Thing/Reference/Book,Thing/Entry/Phdthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Book,Entry,Reference,Thing,Thing/Reference/Book,Thing/Entry,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Book,Mastersthesis,Reference,Entry,Thing/Reference/Book,Thing/Entry/Mastersthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Book,Misc,Reference,Entry,Thing/Reference/Book,Thing/Entry/Misc,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Book,Conference,Reference,Entry,Thing/Reference/Book,Thing/Entry/Conference,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Book,Inbook,Reference,Entry,Thing/Reference/Book,Thing/Entry/Inbook,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Book,Book,Reference,Entry,Thing/Reference/Book,Thing/Entry/Book,1,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Book,Incollection,Reference,Entry,Thing/Reference/Book,Thing/Entry/Incollection,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Book,Manual,Reference,Entry,Thing/Reference/Book,Thing/Entry/Manual,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Book,Booklet,Reference,Entry,Thing/Reference/Book,Thing/Entry/Booklet,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Book,Proceedings,Reference,Entry,Thing/Reference/Book,Thing/Entry/Proceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Book,Unpublished,Reference,Entry,Thing/Reference/Book,Thing/Entry/Unpublished,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Book,TechReport,Reference,Entry,Thing/Reference/Book,Thing/Entry/TechReport,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Book,Inproceedings,Reference,Entry,Thing/Reference/Book,Thing/Entry/Inproceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Book,Article,Reference,Entry,Thing/Reference/Book,Thing/Entry/Article,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Deliverable,Phdthesis,Report,Entry,Thing/Reference/Report/Deliverable,Thing/Entry/Phdthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Deliverable,Entry,Report,Thing,Thing/Reference/Report/Deliverable,Thing/Entry,1,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Deliverable,Mastersthesis,Report,Entry,Thing/Reference/Report/Deliverable,Thing/Entry/Mastersthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Deliverable,Misc,Report,Entry,Thing/Reference/Report/Deliverable,Thing/Entry/Misc,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Deliverable,Conference,Report,Entry,Thing/Reference/Report/Deliverable,Thing/Entry/Conference,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Deliverable,Inbook,Report,Entry,Thing/Reference/Report/Deliverable,Thing/Entry/Inbook,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Deliverable,Book,Report,Entry,Thing/Reference/Report/Deliverable,Thing/Entry/Book,0,Class
